Cursinho	Cidade
S	FLORIANOPOLIS
S	GRANDEFLOP
S	FLORIANOPOLIS
S	FLORIANOPOLIS
N	FLORIANOPOLIS
N	FLORIANOPOLIS
S	FLORIANOPOLIS
N	OUTRO
S	OUTRO
N	FLORIANOPOLIS
N	GRANDEFLOP
S	OUTRO
N	FLORIANOPOLIS
N	OUTRO
N	OUTRO
N	GRANDEFLOP
N	FLORIANOPOLIS
N	OUTRO
N	OUTRO
N	FLORIANOPOLIS
S	FLORIANOPOLIS
N	FLORIANOPOLIS
N	GRANDEFLOP
N	GRANDEFLOP
N	OUTRO
N	FLORIANOPOLIS
S	OUTRO
S	GRANDEFLOP
N	OUTRO
N	OUTRO
N	OUTRO
S	GRANDEFLOP
S	FLORIANOPOLIS
S	OUTRO
N	FLORIANOPOLIS
S	FLORIANOPOLIS
N	FLORIANOPOLIS
S	GRANDEFLOP
N	OUTRO
N	FLORIANOPOLIS
S	FLORIANOPOLIS
